season,start_year,team,bt,mov,win_pct,conf_rank,league_rank,strength_gap_to_best,league_strength_sd,prior_titles,prior_top4,career_win_pct,won_title,title_prob
1995-1996,1995,Sacramento Kings,-0.11102062140180863,-0.37432069691226655,0.476,8.0,18.0,1.9658528210800297,0.7606211123211168,0,0,0.348780487804878,0,5e-05
1995-1996,1995,San Antonio Spurs,0.9286746305523765,0.8529368551779508,0.72,2.0,4.0,0.9261575691258446,0.7606211123211168,0,2,0.5447154471544715,0,0.0374
1995-1996,1995,Seattle SuperSonics,1.2328605942682627,1.055812958084599,0.78,1.0,2.0,0.6219716054099584,0.7606211123211168,0,3,0.5463414634146342,0,0.14235
1995-1996,1995,Utah Jazz,0.704951489936346,0.891511888829215,0.671,3.0,5.0,1.149880709741875,0.7606211123211168,0,2,0.5504065040650407,0,0.00865
1996-1997,1996,Atlanta Hawks,0.8451094513458579,0.7886451324258439,0.683,4.0,5.0,0.848247918592272,0.875587221714604,0,3,0.5403963414634146,0,0.01015
1996-1997,1996,Charlotte Hornets,0.7326978524340355,0.3043141543599724,0.659,5.5,10.0,0.9606595175040944,0.875587221714604,0,0,0.4146341463414634,0,0.0047
1996-1997,1996,Chicago Bulls,1.69335736993813,1.528714296550096,0.841,1.0,1.0,0.0,0.875587221714604,4,4,0.5739329268292683,1,0.5931
1996-1997,1996,Detroit Pistons,0.7481997869135041,0.7772154928254695,0.659,5.5,8.0,0.9451575830246258,0.875587221714604,2,4,0.5320121951219512,0,0.00585
1996-1997,1996,Houston Rockets,0.8035418689339348,0.5500514057680252,0.695,2.5,6.5,0.8898155010041952,0.875587221714604,2,0,0.5365853658536586,0,0.03225
1996-1997,1996,Los Angeles Clippers,-0.3153601505125477,-0.38003551671245384,0.439,8.0,18.0,2.0087175204506775,0.875587221714604,0,0,0.3384146341463415,0,0.0
1996-1997,1996,Los Angeles Lakers,0.7462934599781516,0.5229060117171357,0.683,4.0,9.0,0.9470639099599784,0.875587221714604,4,9,0.6615853658536586,0,0.0125
1996-1997,1996,Miami Heat,1.1359084680735025,0.7943599522260312,0.744,2.0,3.0,0.5574489018646274,0.875587221714604,0,0,0.37652439024390244,0,0.0905
1996-1997,1996,Minnesota Timberwolves,-0.10706792173197724,-0.260024300908521,0.488,6.5,16.0,1.8004252916701071,0.875587221714604,0,0,0.26480836236933797,0,0.0
1996-1997,1996,New York Knicks,0.9102040388297358,0.47290133846549703,0.695,3.0,4.0,0.7831533311083941,0.875587221714604,0,2,0.5251524390243902,0,0.0202
1996-1997,1996,Orlando Magic,0.2420731615634003,-0.010000934650327732,0.549,7.0,12.0,1.4512842083747297,0.875587221714604,0,1,0.4843205574912892,0,0.00015
